US	2012	58.6%
AL	2012	61.4%
AK	2012	58.9%
AZ	2012	53.0%
AR	2012	51.1%
CA	2012	55.7%
CO	2012	70.6%
CT	2012	61.4%
DE	2012	61.4%
DC	2012	61.6%
FL	2012	63.3%
GA	2012	59.3%
HI	2012	44.5%
ID	2012	61.0%
IL	2012	59.3%
IN	2012	56.0%
IA	2012	70.6%
KS	2012	58.2%
KY	2012	56.2%
LA	2012	60.8%
ME	2012	69.3%
MD	2012	67.3%
MA	2012	66.2%
MI	2012	65.4%
MN	2012	76.4%
MS	2012	61.4%
MO	2012	61.4%
MT	2012	63.5%
NE	2012	61.1%
NV	2012	56.5%
NH	2012	70.9%
NJ	2012	62.2%
NM	2012	54.8%
NY	2012	53.5%
NC	2012	65.4%
ND	2012	60.4%
OH	2012	65.1%
OK	2012	61.4%
OR	2012	64.2%
PA	2012	61.4%
RI	2012	61.4%
SC	2012	56.8%
SD	2012	60.1%
TN	2012	52.3%
TX	2012	61.4%
UT	2012	56.1%
VT	2012	61.2%
VA	2012	66.6%
WA	2012	65.8%
WV	2012	61.4%
WI	2012	61.4%
WY	2012	59.0%
US	2010	41.8%		
US	2008	62.2%
AL	2008	61.0%
AK	2008	68.3%
AZ	2008	57.4%
AR	2008	52.9%
CA	2008	61.7%
CO	2008	71.6%
CT	2008	61.4%
DE	2008	65.8%
DC	2008	61.7%
FL	2008	66.6%
GA	2008	62.7%
HI	2008	49.0%
ID	2008	64.8%
IL	2008	64.3%
IN	2008	60.3%
IA	2008	69.7%
KS	2008	63.5%
KY	2008	59.0%
LA	2008	61.8%
ME	2008	71.8%
MD	2008	67.8%
MA	2008	67.3%
MI	2008	69.7%
MN	2008	78.1%
MS	2008	61.4%
MO	2008	68.2%
MT	2008	67.1%
NE	2008	63.7%
NV	2008	57.2%
NH	2008	72.5%
NJ	2008	67.7%
NM	2008	61.2%
NY	2008	59.6%
NC	2008	66.1%
ND	2008	63.6%
OH	2008	67.8%
OK	2008	56.3%
OR	2008	68.3%
PA	2008	64.2%
RI	2008	62.3%
SC	2008	58.2%
SD	2008	65.6%
TN	2008	57.4%
TX	2008	61.4%
UT	2008	57.1%
VT	2008	67.7%
VA	2008	67.6%
WA	2008	67.3%
WV	2008	51.2%
WI	2008	72.7%
WY	2008	63.1%	
US	2004	60.7%
AL	2004	57.4%
AK	2004	69.6%
AZ	2004	54.8%
AR	2004	54.4%
CA	2004	59.6%
CO	2004	67.3%
CT	2004	66.2%
DE	2004	64.5%
DC	2004	54.9%
FL	2004	64.7%
GA	2004	56.4%
HI	2004	48.5%
ID	2004	64.8%
IL	2004	62.4%
IN	2004	55.8%
IA	2004	70.6%
KS	2004	62.9%
KY	2004	59.4%
LA	2004	61.5%
ME	2004	74.9%
